id,team_name,round,match_date,year,home_away,opponent,team_quarter_scores,team_score,opponent_quarter_scores,opponent_score,result,margin,venue,crowd,team_goals_kicked,team_behinds,opponent_goals_kicked,opponent_behinds
8906,Sydney Swans,5,2021-04-17,2021,H,Greater Western Sydney Giants,3.3 6.4 8.8 10.9,69,1.4 3.7 5.11 9.17,71,L,2,Sydney Cricket Ground,33541.0,10,9,9,17
8907,Sydney Swans,6,2021-04-24,2021,A,Gold Coast Suns,3.1 4.4 5.5 9.6,60,4.2 8.2 13.6 15.10,100,L,40,People First Stadium,9819.0,9,6,15,10
8908,Sydney Swans,7,2021-05-01,2021,H,Geelong Cats,2.1 7.2 10.6 14.6,90,6.5 7.8 10.10 12.16,88,W,2,Sydney Cricket Ground,29123.0,14,6,12,16
8910,Sydney Swans,9,2021-05-15,2021,H,Collingwood Magpies,1.2 4.3 7.7 10.12,72,4.2 4.4 4.6 5.12,42,W,30,Sydney Cricket Ground,31448.0,10,12,5,12
8911,Sydney Swans,10,2021-05-22,2021,A,Fremantle Dockers,4.0 9.3 9.4 13.6,84,3.2 6.6 10.11 12.14,86,L,2,Optus Stadium,29134.0,13,6,12,14
10220,Port Adelaide Power,EF,2017-09-09,2017,H,West Coast Eagles,1.0 5.5 6.8 8.12 10.13 10.16,76,4.2 7.4 7.5 9.6 10.6 12.6,78,L,2,Adelaide Oval,41172.0,10,16,12,6
8915,Sydney Swans,15,2021-06-26,2021,A,Port Adelaide Power,5.3 6.6 7.9 10.11,71,4.3 7.4 10.6 12.9,81,L,10,Adelaide Oval,29631.0,10,11,12,9
8941,Sydney Swans,18,2022-07-16,2022,A,Fremantle Dockers,1.1 3.8 6.12 11.16,82,3.3 6.5 6.9 9.11,65,W,17,Optus Stadium,46596.0,11,16,9,11
8959,Sydney Swans,10,2023-05-20,2023,A,North Melbourne Kangaroos,3.6 7.7 11.7 14.9,93,3.3 5.3 10.4 14.6,90,W,3,Marvel Stadium,21003.0,14,9,14,6
8918,Sydney Swans,18,2021-07-18,2021,A,Greater Western Sydney Giants,1.2 6.4 12.6 15.8,98,6.1 9.2 9.5 11.6,72,W,26,People First Stadium,2374.0,15,8,11,6
8919,Sydney Swans,19,2021-07-25,2021,H,Fremantle Dockers,3.3 6.8 11.11 14.14,98,4.4 6.5 6.6 8.10,58,W,40,People First Stadium,2875.0,14,14,8,10
8920,Sydney Swans,20,2021-08-01,2021,A,Essendon Bombers,2.1 4.5 11.7 17.7,109,3.3 6.5 11.5 16.6,102,W,7,Melbourne Cricket Ground,,17,7,16,6
8921,Sydney Swans,21,2021-08-07,2021,A,St Kilda Saints,4.1 5.2 8.4 10.4,64,5.0 8.2 12.4 14.9,93,L,29,Marvel Stadium,,10,4,14,9
8922,Sydney Swans,22,2021-08-14,2021,A,North Melbourne Kangaroos,5.2 8.4 10.8 13.13,91,2.2 3.3 7.4 12.5,77,W,14,Marvel Stadium,,13,13,12,5
8923,Sydney Swans,23,2021-08-21,2021,H,Gold Coast Suns,6.4 9.7 13.7 21.10,136,0.4 3.8 5.9 6.13,49,W,87,Marvel Stadium,,21,10,6,13
8924,Sydney Swans,EF,2021-08-28,2021,H,Greater Western Sydney Giants,3.2 5.4 8.6 10.13,73,3.2 9.3 11.7 11.8,74,L,1,UTAS Stadium,8635.0,10,13,11,8
8926,Sydney Swans,2,2022-03-25,2022,H,Geelong Cats,4.3 11.3 15.4 17.5,107,2.4 6.7 8.13 10.17,77,W,30,Sydney Cricket Ground,36578.0,17,5,10,17
8927,Sydney Swans,3,2022-03-31,2022,A,Western Bulldogs,1.3 1.3 5.3 9.6,60,3.3 4.10 6.15 9.17,71,L,11,Marvel Stadium,24327.0,9,6,9,17
8928,Sydney Swans,4,2022-04-09,2022,H,North Melbourne Kangaroos,3.2 6.4 9.6 13.8,86,4.0 6.1 11.1 12.3,75,W,11,Sydney Cricket Ground,22307.0,13,8,12,3
8929,Sydney Swans,5,2022-04-15,2022,A,West Coast Eagles,5.4 10.10 11.12 18.13,121,0.0 2.0 4.3 9.4,58,W,63,Optus Stadium,42888.0,18,13,9,4
8930,Sydney Swans,6,2022-04-25,2022,A,Hawthorn Hawks,3.2 4.8 7.11 16.13,109,5.4 7.5 9.8 10.8,68,W,41,UTAS Stadium,14107.0,16,13,10,8
8931,Sydney Swans,7,2022-05-01,2022,H,Brisbane Lions,1.3 2.4 8.6 13.11,89,1.3 7.7 12.11 17.11,113,L,24,Sydney Cricket Ground,30110.0,13,11,17,11
8932,Sydney Swans,8,2022-05-07,2022,H,Gold Coast Suns,1.4 4.7 8.11 8.13,61,3.6 7.6 8.11 10.15,75,L,14,Sydney Cricket Ground,20420.0,8,13,10,15
8934,Sydney Swans,10,2022-05-20,2022,A,Carlton Blues,4.0 7.0 12.4 13.9,87,3.5 12.8 14.9 15.12,102,L,15,Marvel Stadium,44769.0,13,9,15,12
